Año,Población España,Total Generado España,Reciclado,Compostage,Total Recogida Selectiva,Vertido,Incineración,Total Resto,RS / RC % Total,FR / RC % Total
2020,47332614,21989316,4495928,4423894,8919822,10859025,2210469,13069494,"40,56","59,44"
2019,46937060,22261690,4378825,4072296,8451121,11364964,2445604,13810568,"37,96","62,04"
2018,46658447,22264824,4007596,3789828,7797424,11887890,2579509,14467399,"35,02","64,98"
2017,46528966,22017864,4032938,3918035,7950973,11263416,2803475,14066891,"36,11","63,89"
2016,46440099,21541841,3944784,3350131,7294915,11657901,2589024,14246925,"33,86","66,14"
2015,46449565,21157827,3892034,2451875,6343909,12128644,2685275,14813919,"29,98","70,02"
2014,46512199,20836408,3525440,2894329,6419769,12022639,2394000,14416639,"30,81","69,19"
2012,46818219,21896335,4277335,2244667,6522002,13262639,2111694,15374333,"29,79","70,21"
