Any,Codi municipi,Municipi,Comarca,Població,Autocompostatge,Matèria orgànica,Poda i jardineria,Paper i cartró,Vidre,Envasos lleugers,Residus voluminosos + fusta,RAEE,Ferralla,Olis vegetals,Tèxtil,Runes,Residus en Petites Quantitats (RPQ),Piles,Medicaments,Altres recollides selectives,Total Recollida Selectiva,R.S. / R.M. % total,Kg/hab/any recollida selectiva,Resta a Dipòsit,Resta a Incineració,Resta a Tractament Mecànic Biològic,Resta (sense desglossar),Suma Fracció Resta,F.R. / R.M. %,Generació Residus Municipal Totals,Kg / hab / dia,Kg / hab / any
2000,430424,Castellvell del Camp,Baix Camp,1069,,106.2,0,27.02,21.52,6.81,23.72,,,,,,,0,0.05,0,185.32,23.27,173.36,,,,611.12,611.12,76.73,796.44,2.04,745.03
2000,430458,Colldejou,Baix Camp,196,,0,1.78,1.43,2.29,0.57,0,,,,,,,0,0.01,0,6.08,10.2,31.02,,,,53.52,53.52,89.8,59.6,0.83,304.08
2000,430537,Duesaigües,Baix Camp,210,,0,0,1.44,2.4,1.7,4.22,,,,,,,0,0.01,0,9.77,11.72,46.52,,,,73.62,73.62,88.28,83.39,1.09,397.09
2000,430574,"Febró, la",Baix Camp,55,,0,0,0.48,0.71,0.17,0,,,,,,,0,0,0,1.36,7.55,24.77,,,,16.69,16.69,92.45,18.05,0.9,328.23
2000,430810,Maspujols,Baix Camp,414,,0,0,6.4,5.53,2.69,0,,,,,,,0,0.02,0,14.64,7.09,35.36,,,,191.95,191.95,92.91,206.59,1.37,499.01
2000,430884,Montbrió del Camp,Baix Camp,1413,,198.8,0,34.13,29.86,10.1,36.7,,,,,,,0,0.07,0,309.66,36.84,219.15,,,,530.97,530.97,63.16,840.63,1.63,594.92
2000,430923,Mont-roig del Camp,Baix Camp,6064,,127.9,2500,77.67,139.4,9.38,668,,,,,,,0,0.29,0,3522.64,33,580.91,,,,7153.28,7153.28,67,10675.92,4.82,1760.54
2000,431166,Prades,Baix Camp,510,,0,0,4.21,5.63,3.65,11.14,,,,,,,0,0.02,0,24.65,6.63,48.34,,,,347.3,347.3,93.37,371.95,2,729.32
2000,431188,Pratdip,Baix Camp,452,,0,61.58,7.79,8.46,1.98,0,,,,,,,0,0.02,0,79.83,22.11,176.62,,,,281.28,281.28,77.89,361.11,2.19,798.92
2000,431233,Reus,Baix Camp,90993,,2395.8,733.7,2259.7,432.2,496.6,714,,,,,,,5.6,4.29,2793.7,9835.59,21.4,108.09,,,,36124,36124,78.6,45959.59,1.38,505.09
2000,431270,Riudecanyes,Baix Camp,596,,14,0,7.49,8.1,3.81,0,,,,,,,0,0.03,0,33.43,13.12,56.09,,,,221.37,221.37,86.88,254.8,1.17,427.51
2000,431286,Riudecols,Baix Camp,992,,69.3,0,10.96,7.63,1.91,4.38,,,,,,,0,0.05,0,94.23,20.68,94.99,,,,361.42,361.42,79.32,455.65,1.26,459.32
2000,431299,Riudoms,Baix Camp,5006,,258.7,0,68.32,45.49,9.03,2.84,,,,,,,0,0.24,0,384.62,21.78,76.83,,,,1381.23,1381.23,78.22,1765.85,0.97,352.75
2000,431457,"Selva del Camp, la",Baix Camp,3767,,0,0,70.72,108.16,28.7,0,,,,,,,0,0.18,59.36,267.12,16.78,70.91,,,,1325,1325,83.22,1592.12,1.16,422.65
2000,431628,Vandellòs i l'Hospitalet de l'Infant,Baix Camp,4253,,303,121.6,90.49,64.25,12.62,107.86,,,,,,,0,0.2,0,700.02,24.6,164.59,,,,2145.02,2145.02,75.4,2845.04,1.83,668.95
2000,431671,Vilanova d'Escornalbou,Baix Camp,462,,0,0,7.29,8.8,2.9,4.42,,,,,,,0,0.02,0,23.43,8.92,50.72,,,,239.31,239.31,91.08,262.74,1.56,568.71
2000,431690,Vilaplana,Baix Camp,523,,0,0,10.09,8.51,3.58,38.56,,,,,,,0,0.02,0,60.76,23.23,116.18,,,,200.82,200.82,76.77,261.58,1.37,500.16
2000,431785,Vinyols i els Arcs,Baix Camp,1028,,121,0,20.71,13.36,5,40.02,,,,,,,0,0.05,0,200.14,22.19,194.69,,,,701.84,701.84,77.81,901.98,2.4,877.41
2000,439044,"Aldea, l'",Baix Ebre,3563,,0,0,26.1,33.76,2.68,0,,,,,,,0.23,0.17,0,62.94,3.91,17.66,,,,1546.48,1546.48,96.09,1609.42,1.24,451.7
2000,430069,Aldover,Baix Ebre,794,,0,0,3.27,7.47,0.44,0,,,,,,,0,0.04,0,11.22,3.22,14.13,,,,336.92,336.92,96.78,348.14,1.2,438.46
2000,430081,Alfara de Carles,Baix Ebre,383,,0,0,7.76,3.5,0.55,0,,,,,,,0,0.02,0,11.83,11.11,30.88,,,,94.6,94.6,88.89,106.43,0.76,277.88
2000,430136,"Ametlla de Mar, l'",Baix Ebre,4341,,0,0,70.16,75.9,7.64,0,,,,,,,0.3,0.2,0,154.2,2.13,35.52,,,,7077.96,7077.96,97.87,7232.16,4.56,1666.01
2000,439060,"Ampolla, l'",Baix Ebre,1667,,0,0,19.22,40.74,3.22,0,,,,,,,0.28,0.08,0,63.54,3.45,38.12,,,,1776.02,1776.02,96.55,1839.56,3.02,1103.51
2000,430252,Benifallet,Baix Ebre,896,,0,0,5.1,9.5,0.07,0,,,,,,,0,0.04,0,14.71,3.77,16.42,,,,375.77,375.77,96.23,390.48,1.19,435.81
